'NOFACTURA','FECHA','NOVENTA','RFCCLIENTE'
17945,26/06/15,343248,'FEVH880615V38'
17946,27/04/14,154810,'DINI510625N43'
17947,15/05/11,533797,'CAPE760706C19'
17948,08/10/11,252173,'BOHB640828BOH'
17949,02/06/11,390270,'MOCL640616C54'
17950,08/11/14,68150,'JUGF600120J48'
17951,27/01/11,358097,'DEAM980320D25'
17952,27/04/13,391466,'RUCL981116RUC'
17953,19/05/11,58389,'FEIM470426I23'
17954,13/05/13,449976,'COCA670516C45'
17955,19/04/14,64249,'PANR780216P57'
17956,29/01/12,552087,'GORM670808G37'
17957,20/05/12,111661,'ROGA060212R54'
17958,13/06/11,368574,'CROH490829O21'
17959,16/12/13,3949,'DENJ811207DEN'
17960,17/05/10,449172,'ALBA860511B15'
17961,01/12/12,25795,'DIIB840327I54'
17962,10/10/12,340856,'MASE030905M19'
17963,05/05/15,248519,'NIMN640710M37'
17964,30/10/16,56792,'GOMR430603M45'
17965,06/12/10,411083,'FEGU590615G46'
17966,09/12/15,141406,'NAAO620616NAA'
17967,02/05/16,112380,'VID740807VID'
17968,18/03/16,413380,'MANA971019M40'
17969,17/03/12,383657,'FRVJ660416F31'
17970,30/07/14,540982,'VAPG600625P39'
17971,16/09/12,308842,'COMG060801COM'
17972,17/01/11,313079,'ESC080904GSM'
17973,20/08/14,90955,'LOMA711125LOM'
17974,19/04/13,561570,'GOGG740906G18'
17975,05/01/16,216445,'QUMC720925M43'
17976,23/12/14,14319,'MAOL901215M10'
17977,23/09/10,181436,'MORA940124M19'
17978,08/10/10,235071,'GOGE481203G56'
17979,24/10/14,91488,'DUCA901120D38'
17980,15/06/14,518101,'CABR800918B18'
17981,24/03/10,388986,'CACF600221C59'
17982,13/01/14,389183,'JIDT711019J25'
17983,25/01/11,109110,'YEVM620208V45'
17984,31/10/12,65990,'CHI051229MTQ'
17985,08/12/10,440424,'NACE700203C29'
17986,14/10/15,336137,'MALJ690326M6'
17987,31/10/16,64913,'GUCR791008G14'
17988,23/10/13,453841,'PRJE690624P3'
17989,23/03/14,144436,'ALDU080321A42'
17990,10/02/11,245911,'RACJ910822RAC'
17991,23/04/15,5624,'MISJ850814M50'
17992,22/09/16,166929,'CRPS030218C48'
17993,24/06/14,337054,'MOPE800604M26'
17994,28/01/15,330436,'GUFG530213F28'
17995,20/03/15,260177,'DEOR700818DEO'
17996,30/07/15,214550,'NABI640411B21'
17997,26/11/14,402747,'RARS630107R45'
17998,31/07/13,53522,'ASMA630621ASM'
17999,04/10/11,506924,'FUPL820217FUP'
18000,06/04/15,185684,'GUIJ990210G36'
18001,08/02/12,107913,'MAGA690211M53'
18002,14/10/12,269164,'BLMM600721B40'
18003,14/05/15,419363,'URRE010213U25'
